date,stratum,president,rating,projected,hdi_95_lower,hdi_80_lower,hdi_50_lower,hdi_50_higher,hdi_80_higher,hdi_95_higher,updated
2023-01-16,BR,Lula da Silva,regular,18.4,15.63,16.58,17.39,19.19,19.98,20.86,2023-03-10
2023-01-16,BR,Lula da Silva,positiva,44.4,41.53,42.45,43.3,45.08,45.87,46.71,2023-03-10
2023-01-16,BR,Lula da Silva,nsnr,8.9,6.35,7.23,8.02,9.79,10.62,11.51,2023-03-10
2023-01-16,BR,Lula da Silva,negativa,28.3,25.57,26.47,27.26,29.03,29.85,30.76,2023-03-10
2023-01-15,BR,Lula da Silva,regular,18.3,15.67,16.56,17.36,19.12,19.88,20.81,2023-03-10
2023-01-15,BR,Lula da Silva,positiva,44.4,41.59,42.52,43.32,45.08,45.85,46.7,2023-03-10
2023-01-15,BR,Lula da Silva,nsnr,9.0,6.44,7.32,8.1,9.8,10.61,11.48,2023-03-10
2023-01-15,BR,Lula da Silva,negativa,28.3,25.59,26.48,27.25,28.99,29.77,30.68,2023-03-10
2023-01-14,BR,Lula da Silva,regular,18.3,15.67,16.58,17.35,19.06,19.83,20.66,2023-03-10
2023-01-14,BR,Lula da Silva,positiva,44.4,41.7,42.56,43.35,45.09,45.8,46.61,2023-03-10
2023-01-14,BR,Lula da Silva,nsnr,9.0,6.54,7.41,8.15,9.84,10.59,11.44,2023-03-10
2023-01-14,BR,Lula da Silva,negativa,28.2,25.6,26.48,27.26,28.94,29.73,30.59,2023-03-10
2023-01-13,BR,Lula da Silva,regular,18.3,15.78,16.59,17.33,18.99,19.73,20.59,2023-03-10
2023-01-13,BR,Lula da Silva,positiva,44.4,41.83,42.67,43.39,45.05,45.79,46.58,2023-03-10
